id,name,description,category,subcategory,brand,specifications,features,price,currency,rating,review_count,availability,color,warranty_months,release_date,tags
11,Oppo Note 14,"High-performance smartphone with exceptional battery life and display quality. Features wireless charging, fingerprint sensor, multiple cameras, OLED display, water resistant, premium build. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"256GB storage, 8GB RAM","wireless charging, fingerprint sensor, multiple cameras, OLED display, water resistant, premium build",1103.2,USD,4.7,1679,In Stock,Blue,24,2025-04-23,"water resistant, Oppo, smartphones, wireless charging, OLED display"
12,Oppo Max 15,"Advanced mobile device featuring latest processor and camera system. Features premium build, fast charging, multiple cameras, 5G connectivity. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"512GB storage, 8GB RAM","premium build, fast charging, multiple cameras, 5G connectivity",2203.14,USD,4.8,1936,In Stock,Red,24,2023-08-26,"fast charging, Oppo, smartphones, premium build, 5G connectivity"
13,Huawei Pro 11,"Flagship smartphone with cutting-edge technology and premium design. Features 5G connectivity, high refresh rate, fast charging, water resistant, fingerprint sensor, face recognition. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Huawei,"1024GB storage, 8GB RAM","5G connectivity, high refresh rate, fast charging, water resistant, fingerprint sensor, face recognition",4434.79,USD,4.6,913,Out of Stock,Red,36,2023-10-22,"water resistant, Huawei, fingerprint sensor, 5G connectivity, face recognition"
14,HP ROG 17,"Powerful laptop designed for professional work and creative tasks. Features fast processor, backlit keyboard, dedicated graphics, fast charging, high resolution display, premium build quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,HP,"8GB RAM, 1024GB SSD, Intel processor","fast processor, backlit keyboard, dedicated graphics, fast charging, high resolution display, premium build quality",1708.25,USD,3.7,1591,Limited Stock,Gray,12,2023-11-19,"dedicated graphics, laptops, backlit keyboard, fast processor, high resolution display"
15,Razer MacBook 16,"Premium portable computer with exceptional performance and build quality. Features SSD storage, touchscreen, long battery life. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Razer,"8GB RAM, 256GB SSD, Apple processor","SSD storage, touchscreen, long battery life",1338.27,USD,3.5,370,Limited Stock,Red,36,2024-07-27,"SSD storage, laptops, Razer, touchscreen, long battery life"
16,Microsoft Inspiron 13,"Powerful laptop designed for professional work and creative tasks. Features long battery life, touchscreen, backlit keyboard, high resolution display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Microsoft,"32GB RAM, 512GB SSD, Apple processor","long battery life, touchscreen, backlit keyboard, high resolution display",2300.95,USD,4.1,1400,In Stock,White,36,2023-12-03,"long battery life, Microsoft, backlit keyboard, laptops, high resolution display"
17,Acer ThinkPad 15,"High-performance notebook with advanced features and sleek design. Features fast charging, high resolution display, SSD storage, backlit keyboard. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Acer,"32GB RAM, 512GB SSD, Apple processor","fast charging, high resolution display, SSD storage, backlit keyboard",2613.97,USD,3.7,499,Out of Stock,White,24,2024-03-23,"fast charging, SSD storage, Acer, high resolution display, backlit keyboard"
18,Xiaomi Standard 14 Pro,"High-performance smartphone with exceptional battery life and display quality. Features water resistant, fast charging, OLED display, fingerprint sensor. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Xiaomi,"256GB storage, 6GB RAM","water resistant, fast charging, OLED display, fingerprint sensor",1185.57,USD,3.6,581,Out of Stock,Rose Gold,36,2024-03-11,"fingerprint sensor, smartphones, fast charging, Xiaomi, OLED display"
19,Google Pro 15 Ultra,"Premium mobile phone with professional-grade camera and fast performance. Features fingerprint sensor, 5G connectivity, fast charging, OLED display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Google,"256GB storage, 12GB RAM","fingerprint sensor, 5G connectivity, fast charging, OLED display",1394.23,USD,3.9,661,Out of Stock,Black,36,2025-05-04,"OLED display, smartphones, 5G connectivity, fast charging, Google"
20,Sennheiser ATH 557,"Noise-cancelling headphones perfect for travel and focused listening. Features touch controls, voice assistant, multipoint connection, foldable design, wireless connectivity, quick charge. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sennheiser,"45mm drivers, 50h battery life","touch controls, voice assistant, multipoint connection, foldable design, wireless connectivity, quick charge",573.96,USD,4.7,1721,In Stock,Blue,12,2024-04-12,"foldable design, quick charge, touch controls, wireless connectivity, multipoint connection"
21,Oppo Pro 10 Pro,"Premium mobile phone with professional-grade camera and fast performance. Features wireless charging, water resistant, face recognition, 5G connectivity, high refresh rate. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"128GB storage, 12GB RAM","wireless charging, water resistant, face recognition, 5G connectivity, high refresh rate",843.67,USD,4.5,1966,Limited Stock,Silver,36,2023-11-09,"smartphones, 5G connectivity, wireless charging, water resistant, face recognition"
22,Xiaomi Edge 15,"Premium mobile phone with professional-grade camera and fast performance. Features multiple cameras, OLED display, fingerprint sensor, 5G connectivity. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Xiaomi,"128GB storage, 8GB RAM","multiple cameras, OLED display, fingerprint sensor, 5G connectivity",764.72,USD,4.9,143,Out of Stock,Black,36,2024-05-27,"multiple cameras, 5G connectivity, OLED display, Xiaomi, fingerprint sensor"
23,Motorola Galaxy 13,"High-performance smartphone with exceptional battery life and display quality. Features water resistant, wireless charging, face recognition. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Motorola,"1024GB storage, 12GB RAM","water resistant, wireless charging, face recognition",3484.17,USD,4.1,67,Limited Stock,Gray,24,2024-07-08,"face recognition, Motorola, water resistant, smartphones, wireless charging"
24,Motorola Plus 13 Max,"Advanced mobile device featuring latest processor and camera system. Features multiple cameras, OLED display, premium build, high refresh rate, face recognition. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Motorola,"256GB storage, 12GB RAM","multiple cameras, OLED display, premium build, high refresh rate, face recognition",1293.4,USD,3.7,1756,In Stock,Gray,24,2024-10-13,"face recognition, premium build, smartphones, multiple cameras, Motorola"
25,Sony ATH 376,"Professional-grade headphones for audiophiles and content creators. Features long battery life, touch controls, noise cancellation. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sony,"50mm drivers, 20h battery life","long battery life, touch controls, noise cancellation",559.57,USD,4.0,49,Limited Stock,White,24,2024-10-25,"touch controls, headphones, long battery life, Sony, noise cancellation"
26,Shure HD 683,"Noise-cancelling headphones perfect for travel and focused listening. Features premium sound quality, quick charge, comfortable fit, long battery life. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Shure,"53mm drivers, 40h battery life","premium sound quality, quick charge, comfortable fit, long battery life",258.77,USD,3.7,1818,Out of Stock,Black,24,2024-04-26,"long battery life, quick charge, Shure, premium sound quality, headphones"
27,AKG SRH 293,"Professional-grade headphones for audiophiles and content creators. Features voice assistant, long battery life, quick charge, wireless connectivity, comfortable fit. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,AKG,"53mm drivers, 50h battery life","voice assistant, long battery life, quick charge, wireless connectivity, comfortable fit",428.83,USD,5.0,1207,In Stock,White,36,2024-03-05,"quick charge, voice assistant, headphones, AKG, long battery life"
28,Motorola Lite 14 Ultra,"Flagship smartphone with cutting-edge technology and premium design. Features 5G connectivity, high refresh rate, multiple cameras. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Motorola,"64GB storage, 6GB RAM","5G connectivity, high refresh rate, multiple cameras",476.91,USD,4.4,591,Limited Stock,Gray,12,2024-06-16,"high refresh rate, Motorola, smartphones, 5G connectivity, multiple cameras"
29,Bose HD 141,"Noise-cancelling headphones perfect for travel and focused listening. Features voice assistant, premium sound quality, touch controls, noise cancellation, multipoint connection. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Bose,"50mm drivers, 20h battery life","voice assistant, premium sound quality, touch controls, noise cancellation, multipoint connection",181.18,USD,4.2,1194,In Stock,Blue,24,2024-10-11,"Bose, headphones, voice assistant, noise cancellation, multipoint connection"
30,Beyerdynamic Live 974,"Premium wireless headphones with superior sound quality and comfort. Features quick charge, foldable design, voice assistant, noise cancellation. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Beyerdynamic,"50mm drivers, 30h battery life","quick charge, foldable design, voice assistant, noise cancellation",251.06,USD,4.4,175,Out of Stock,Red,24,2024-04-17,"voice assistant, Beyerdynamic, headphones, quick charge, foldable design"
31,Huawei Mini 11 Pro,"Premium mobile phone with professional-grade camera and fast performance. Features water resistant, OLED display, multiple cameras. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Huawei,"512GB storage, 8GB RAM","water resistant, OLED display, multiple cameras",1825.83,USD,3.9,787,Limited Stock,Blue,36,2024-02-18,"smartphones, OLED display, water resistant, multiple cameras, Huawei"
32,HP ThinkPad 17,"Premium portable computer with exceptional performance and build quality. Features lightweight design, dedicated graphics, SSD storage, fast processor, touchscreen, premium build quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,HP,"32GB RAM, 256GB SSD, Intel processor","lightweight design, dedicated graphics, SSD storage, fast processor, touchscreen, premium build quality",2330.74,USD,3.9,525,In Stock,Black,12,2025-03-29,"dedicated graphics, fast processor, laptops, lightweight design, premium build quality"
33,Sony SRH 424,"Noise-cancelling headphones perfect for travel and focused listening. Features foldable design, voice assistant, quick charge, wireless connectivity, touch controls, multipoint connection. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sony,"53mm drivers, 50h battery life","foldable design, voice assistant, quick charge, wireless connectivity, touch controls, multipoint connection",294.31,USD,4.9,553,In Stock,Blue,12,2024-05-24,"touch controls, Sony, quick charge, foldable design, wireless connectivity"
34,Xiaomi Standard 12,"Flagship smartphone with cutting-edge technology and premium design. Features face recognition, 5G connectivity, OLED display, fast charging, high refresh rate, premium build. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Xiaomi,"512GB storage, 8GB RAM","face recognition, 5G connectivity, OLED display, fast charging, high refresh rate, premium build",1961.01,USD,4.5,1683,Limited Stock,Blue,12,2025-01-01,"Xiaomi, OLED display, 5G connectivity, smartphones, face recognition"
35,Sony WH 761,"High-fidelity audio experience with advanced driver technology. Features voice assistant, premium sound quality, quick charge, foldable design, comfortable fit, noise cancellation. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sony,"53mm drivers, 40h battery life","voice assistant, premium sound quality, quick charge, foldable design, comfortable fit, noise cancellation",349.64,USD,4.2,1876,Out of Stock,Silver,12,2023-08-30,"headphones, comfortable fit, foldable design, voice assistant, quick charge"
36,Nokia Standard 10 Pro,"Premium mobile phone with professional-grade camera and fast performance. Features fast charging, water resistant, multiple cameras. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Nokia,"64GB storage, 12GB RAM","fast charging, water resistant, multiple cameras",516.06,USD,3.5,1379,Limited Stock,Rose Gold,36,2025-01-24,"Nokia, water resistant, fast charging, smartphones, multiple cameras"
37,Sony K 838,"Premium wireless headphones with superior sound quality and comfort. Features voice assistant, wireless connectivity, premium sound quality, foldable design, quick charge. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Sony,"50mm drivers, 50h battery life","voice assistant, wireless connectivity, premium sound quality, foldable design, quick charge",246.43,USD,4.1,901,In Stock,Silver,36,2024-04-10,"headphones, wireless connectivity, premium sound quality, quick charge, foldable design"
38,Sony Max 12 Ultra,"Premium mobile phone with professional-grade camera and fast performance. Features OLED display, face recognition, fast charging, wireless charging, 5G connectivity, water resistant. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Sony,"512GB storage, 8GB RAM","OLED display, face recognition, fast charging, wireless charging, 5G connectivity, water resistant",2347.25,USD,4.1,1667,Out of Stock,Blue,24,2024-03-16,"Sony, OLED display, water resistant, face recognition, smartphones"
39,MSI ZenBook 13,"Powerful laptop designed for professional work and creative tasks. Features SSD storage, dedicated graphics, high resolution display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,MSI,"32GB RAM, 256GB SSD, Intel processor","SSD storage, dedicated graphics, high resolution display",2158.32,USD,3.5,1763,In Stock,White,36,2024-08-14,"laptops, dedicated graphics, MSI, SSD storage, high resolution display"
40,Sony Galaxy 11 Pro,"Advanced mobile device featuring latest processor and camera system. Features 5G connectivity, high refresh rate, OLED display, multiple cameras, water resistant, wireless charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Sony,"128GB storage, 8GB RAM","5G connectivity, high refresh rate, OLED display, multiple cameras, water resistant, wireless charging",859.12,USD,3.9,324,In Stock,Gray,36,2023-09-03,"OLED display, multiple cameras, water resistant, wireless charging, high refresh rate"
41,Motorola Plus 11 Max,"Premium mobile phone with professional-grade camera and fast performance. Features premium build, high refresh rate, OLED display, fast charging, fingerprint sensor. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Motorola,"256GB storage, 12GB RAM","premium build, high refresh rate, OLED display, fast charging, fingerprint sensor",1412.4,USD,4.7,1551,In Stock,Silver,36,2025-03-23,"fast charging, Motorola, premium build, high refresh rate, OLED display"
42,Sony Lite 13,"Advanced mobile device featuring latest processor and camera system. Features multiple cameras, premium build, fast charging, face recognition. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Sony,"512GB storage, 12GB RAM","multiple cameras, premium build, fast charging, face recognition",2064.47,USD,3.9,1803,Out of Stock,Gray,36,2025-03-30,"fast charging, premium build, face recognition, Sony, multiple cameras"
43,Xiaomi Note 11 Pro,"Flagship smartphone with cutting-edge technology and premium design. Features multiple cameras, wireless charging, water resistant, face recognition. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Xiaomi,"64GB storage, 6GB RAM","multiple cameras, wireless charging, water resistant, face recognition",526.75,USD,4.7,1189,Out of Stock,Gray,36,2025-03-08,"face recognition, wireless charging, smartphones, multiple cameras, water resistant"
44,Samsung Standard 13,"Premium mobile phone with professional-grade camera and fast performance. Features fingerprint sensor, water resistant, wireless charging, multiple cameras, OLED display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Samsung,"512GB storage, 6GB RAM","fingerprint sensor, water resistant, wireless charging, multiple cameras, OLED display",2094.17,USD,4.9,337,Out of Stock,Red,12,2025-01-16,"fingerprint sensor, water resistant, Samsung, multiple cameras, wireless charging"
45,Apple Note 13,"Premium mobile phone with professional-grade camera and fast performance. Features multiple cameras, premium build, OLED display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Apple,"512GB storage, 12GB RAM","multiple cameras, premium build, OLED display",1759.11,USD,4.7,254,Limited Stock,Gray,12,2024-07-22,"Apple, OLED display, premium build, multiple cameras, smartphones"
46,Sony Plus 15 Pro,"Advanced mobile device featuring latest processor and camera system. Features wireless charging, 5G connectivity, fast charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Sony,"64GB storage, 12GB RAM","wireless charging, 5G connectivity, fast charging",424.8,USD,4.4,1957,In Stock,Gray,24,2025-01-29,"5G connectivity, smartphones, Sony, wireless charging, fast charging"
47,MSI MacBook 16,"Versatile laptop perfect for business, gaming, and multimedia use. Features dedicated graphics, fast charging, long battery life, backlit keyboard, SSD storage. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,MSI,"8GB RAM, 512GB SSD, AMD processor","dedicated graphics, fast charging, long battery life, backlit keyboard, SSD storage",1334.98,USD,4.9,1060,Out of Stock,Silver,12,2023-12-21,"long battery life, MSI, laptops, dedicated graphics, fast charging"
48,JBL AirPods 401,"Professional-grade headphones for audiophiles and content creators. Features quick charge, voice assistant, comfortable fit, touch controls. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,JBL,"53mm drivers, 40h battery life","quick charge, voice assistant, comfortable fit, touch controls",200.6,USD,4.3,564,Out of Stock,White,36,2025-01-24,"touch controls, comfortable fit, JBL, headphones, quick charge"
49,Google Standard 12 Max,"High-performance smartphone with exceptional battery life and display quality. Features high refresh rate, 5G connectivity, face recognition, water resistant, premium build, fingerprint sensor. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Google,"1024GB storage, 12GB RAM","high refresh rate, 5G connectivity, face recognition, water resistant, premium build, fingerprint sensor",3210.8,USD,4.8,684,In Stock,Black,36,2024-10-17,"smartphones, 5G connectivity, Google, high refresh rate, water resistant"
50,Alienware Inspiron 16,"High-performance notebook with advanced features and sleek design. Features premium build quality, lightweight design, fast charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Alienware,"16GB RAM, 512GB SSD, Intel processor","premium build quality, lightweight design, fast charging",1804.81,USD,3.5,1905,Limited Stock,Red,12,2024-11-30,"Alienware, laptops, lightweight design, premium build quality, fast charging"
51,Oppo Ultra 11 Ultra,"High-performance smartphone with exceptional battery life and display quality. Features water resistant, fast charging, high refresh rate. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Oppo,"512GB storage, 8GB RAM","water resistant, fast charging, high refresh rate",2025.46,USD,3.8,376,In Stock,Silver,36,2024-02-17,"fast charging, water resistant, high refresh rate, Oppo, smartphones"
52,Dell MacBook 16,"High-performance notebook with advanced features and sleek design. Features touchscreen, fast processor, dedicated graphics, backlit keyboard, premium build quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Dell,"16GB RAM, 1024GB SSD, AMD processor","touchscreen, fast processor, dedicated graphics, backlit keyboard, premium build quality",1773.95,USD,4.0,1660,Limited Stock,Gray,12,2025-03-16,"laptops, fast processor, backlit keyboard, touchscreen, Dell"
53,Lenovo ZenBook 14,"Versatile laptop perfect for business, gaming, and multimedia use. Features backlit keyboard, SSD storage, high resolution display, dedicated graphics, long battery life, premium build quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Lenovo,"32GB RAM, 1024GB SSD, Intel processor","backlit keyboard, SSD storage, high resolution display, dedicated graphics, long battery life, premium build quality",2522.47,USD,4.7,1067,Out of Stock,Red,24,2023-08-28,"Lenovo, long battery life, high resolution display, laptops, dedicated graphics"
54,Beyerdynamic ATH 176,"Premium wireless headphones with superior sound quality and comfort. Features foldable design, noise cancellation, premium sound quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Beyerdynamic,"40mm drivers, 50h battery life","foldable design, noise cancellation, premium sound quality",361.27,USD,4.0,1353,Limited Stock,Blue,36,2023-08-28,"noise cancellation, premium sound quality, headphones, foldable design, Beyerdynamic"
55,OnePlus Lite 10 Pro,"Flagship smartphone with cutting-edge technology and premium design. Features premium build, OLED display, 5G connectivity, face recognition, high refresh rate, wireless charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,OnePlus,"512GB storage, 6GB RAM","premium build, OLED display, 5G connectivity, face recognition, high refresh rate, wireless charging",1818.79,USD,4.6,1068,Out of Stock,Silver,24,2024-11-30,"5G connectivity, high refresh rate, smartphones, premium build, wireless charging"
56,Acer ThinkPad 15,"Versatile laptop perfect for business, gaming, and multimedia use. Features long battery life, dedicated graphics, premium build quality, high resolution display, SSD storage, backlit keyboard. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Acer,"16GB RAM, 512GB SSD, Apple processor","long battery life, dedicated graphics, premium build quality, high resolution display, SSD storage, backlit keyboard",1623.77,USD,4.1,1778,Out of Stock,Silver,12,2023-12-24,"high resolution display, dedicated graphics, premium build quality, laptops, Acer"
57,Apple Pavilion 14,"High-performance notebook with advanced features and sleek design. Features touchscreen, high resolution display, long battery life, fast processor, premium build quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Apple,"32GB RAM, 512GB SSD, Intel processor","touchscreen, high resolution display, long battery life, fast processor, premium build quality",2158.55,USD,3.9,1309,Limited Stock,Gray,36,2025-03-21,"premium build quality, high resolution display, touchscreen, long battery life, Apple"
58,Microsoft ROG 16,"Powerful laptop designed for professional work and creative tasks. Features fast charging, lightweight design, premium build quality, SSD storage. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Microsoft,"32GB RAM, 1024GB SSD, Intel processor","fast charging, lightweight design, premium build quality, SSD storage",3312.16,USD,4.1,1369,Limited Stock,Black,12,2025-05-22,"Microsoft, premium build quality, fast charging, SSD storage, lightweight design"
59,Nokia Note 13,"Flagship smartphone with cutting-edge technology and premium design. Features fast charging, multiple cameras, fingerprint sensor, face recognition, OLED display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Nokia,"512GB storage, 8GB RAM","fast charging, multiple cameras, fingerprint sensor, face recognition, OLED display",2223.99,USD,4.9,25,Out of Stock,Blue,12,2025-05-05,"Nokia, fast charging, smartphones, multiple cameras, fingerprint sensor"
60,Bose HD 736,"Professional-grade headphones for audiophiles and content creators. Features quick charge, premium sound quality, long battery life, multipoint connection. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Bose,"53mm drivers, 20h battery life","quick charge, premium sound quality, long battery life, multipoint connection",344.91,USD,4.0,1712,Out of Stock,Gray,36,2023-10-25,"multipoint connection, long battery life, headphones, premium sound quality, quick charge"
61,Sony Galaxy 12,"Premium mobile phone with professional-grade camera and fast performance. Features premium build, 5G connectivity, multiple cameras, fast charging. Perfect for professionals, students, and tech enthusiasts.",Electronics,Smartphones,Sony,"512GB storage, 12GB RAM","premium build, 5G connectivity, multiple cameras, fast charging",1848.73,USD,4.5,1730,In Stock,Rose Gold,24,2024-02-27,"smartphones, 5G connectivity, Sony, multiple cameras, fast charging"
62,Beyerdynamic HD 379,"Premium wireless headphones with superior sound quality and comfort. Features comfortable fit, multipoint connection, foldable design, premium sound quality. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Beyerdynamic,"53mm drivers, 20h battery life","comfortable fit, multipoint connection, foldable design, premium sound quality",167.11,USD,4.7,888,Out of Stock,Gray,36,2025-07-23,"premium sound quality, comfortable fit, headphones, foldable design, multipoint connection"
63,Bose ATH 931,"Noise-cancelling headphones perfect for travel and focused listening. Features premium sound quality, touch controls, multipoint connection, comfortable fit, long battery life, noise cancellation. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Bose,"50mm drivers, 50h battery life","premium sound quality, touch controls, multipoint connection, comfortable fit, long battery life, noise cancellation",259.35,USD,3.6,149,Out of Stock,Red,12,2024-08-31,"premium sound quality, noise cancellation, long battery life, Bose, headphones"
64,Audio-Technica K 830,"High-fidelity audio experience with advanced driver technology. Features foldable design, quick charge, noise cancellation. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Audio-Technica,"50mm drivers, 30h battery life","foldable design, quick charge, noise cancellation",417.44,USD,4.2,211,In Stock,White,12,2023-10-14,"Audio-Technica, foldable design, headphones, noise cancellation, quick charge"
65,Lenovo Inspiron 14,"High-performance notebook with advanced features and sleek design. Features premium build quality, touchscreen, fast charging, backlit keyboard, high resolution display. Perfect for professionals, students, and tech enthusiasts.",Electronics,Laptops,Lenovo,"16GB RAM, 512GB SSD, Intel processor","premium build quality, touchscreen, fast charging, backlit keyboard, high resolution display",2233.31,USD,4.1,916,Limited Stock,Rose Gold,24,2024-11-09,"backlit keyboard, fast charging, high resolution display, laptops, touchscreen"
66,Beyerdynamic AirPods 445,"Premium wireless headphones with superior sound quality and comfort. Features long battery life, noise cancellation, premium sound quality, comfortable fit, quick charge. Perfect for professionals, students, and tech enthusiasts.",Electronics,Headphones,Beyerdynamic,"40mm drivers, 20h battery life","long battery life, noise cancellation, premium sound quality, comfortable fit, quick charge",354.54,USD,4.2,662,Limited Stock,Blue,12,2023-08-28,"headphones, quick charge, noise cancellation, Beyerdynamic, premium sound quality"
