id,name,description,category,subcategory,item_type,brand,price,currency,sizes_available,colors_available,material,care_instructions,rating,review_count,availability,season,gender,age_group,style,tags,eco_friendly,made_in,release_date
15,Uniqlo Designer Hats,Stylish hats with relaxed fit design. Perfect for formal occasions. Made from high-quality silk. Machine Washable.,Fashion,Accessories,hats,Uniqlo,62.87,USD,"10, 8, 12, 7, 6, 11","Brown, White, Gray, Green",polyester,machine washable,4.0,1238,Out of Stock,Fall/Winter,Men,Teen,Business,"hats, Uniqlo, Essential, fashion",True,Vietnam,2024-12-25
16,Uniqlo Essential Bags,Stylish bags with oversized design. Perfect for weekend outings. Made from high-quality polyester. Delicate Cycle.,Fashion,Accessories,bags,Uniqlo,403.05,USD,"12, 7, 5, 8","Red, Navy, Green",cotton,dry clean only,4.9,361,Out of Stock,Fall/Winter,Women,Kids,Sporty,"bags, Uniqlo, Essential, fashion",True,China,2025-07-05
17,Gap Casual Sunglasses,Stylish sunglasses with slim fit design. Perfect for formal occasions. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Accessories,sunglasses,Gap,523.06,USD,"9, 6, 8, 10","Red, Blue",synthetic blend,machine washable,4.3,210,Limited Stock,All Season,Unisex,Kids,Trendy,"sunglasses, Gap, Formal, fashion",False,Turkey,2025-06-26
18,Calvin Klein Modern Belts,Stylish belts with tailored fit design. Perfect for formal occasions. Made from high-quality silk. Hand Wash Recommended.,Fashion,Accessories,belts,Calvin Klein,111.76,USD,"6, 10, 9","Gray, Navy",linen,dry clean only,3.1,738,Out of Stock,All Season,Unisex,Teen,Sporty,"belts, Calvin Klein, Designer, fashion",False,Bangladesh,2025-05-03
19,H&M Classic Sunglasses,Stylish sunglasses with relaxed fit design. Perfect for formal occasions. Made from high-quality cotton. Machine Washable.,Fashion,Accessories,sunglasses,H&M,206.85,USD,"7, 9, 6, 10, 12, 5","Beige, Gray",wool,delicate cycle,3.9,1458,Out of Stock,All Season,Women,Kids,Trendy,"sunglasses, H&M, Urban, fashion",False,India,2025-06-18
20,Levi's Modern Heels,Stylish heels with slim fit design. Perfect for weekend outings. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Shoes,heels,Levi's,363.3,USD,"10, 7, 5, 6, 9","Brown, Green, Pink, White, Red",cotton,hand wash recommended,4.4,485,Limited Stock,All Season,Women,Teen,Formal,"heels, Levi's, Signature, fashion",False,Bangladesh,2024-09-15
21,Nike Vintage Shorts,Stylish shorts with oversized design. Perfect for business meetings. Made from high-quality denim. Dry Clean Only.,Fashion,Clothing,shorts,Nike,259.82,USD,"XL, L, XXL, XS","Beige, Navy",synthetic blend,machine washable,3.7,988,In Stock,Fall/Winter,Unisex,Adult,Formal,"shorts, Nike, Casual, fashion",True,Vietnam,2024-09-18
22,Tommy Hilfiger Premium Boots,Stylish boots with oversized design. Perfect for casual wear. Made from high-quality cotton. Hand Wash Recommended.,Fashion,Shoes,boots,Tommy Hilfiger,221.12,USD,"12, 6, 9, 5","Gray, Blue, Red, Black, Pink",denim,machine washable,4.2,523,In Stock,All Season,Women,Teen,Sporty,"boots, Tommy Hilfiger, Designer, fashion",True,Italy,2025-08-03
23,H&M Vintage Jackets,Stylish jackets with slim fit design. Perfect for formal occasions. Made from high-quality wool. Delicate Cycle.,Fashion,Clothing,jackets,H&M,45.61,USD,"XL, S, L, M, XS","Pink, Navy, Green, Blue",polyester,delicate cycle,4.4,838,In Stock,All Season,Unisex,Teen,Classic,"jackets, H&M, Casual, fashion",False,India,2024-09-14
24,H&M Designer Jackets,Stylish jackets with regular fit design. Perfect for formal occasions. Made from high-quality linen. Delicate Cycle.,Fashion,Clothing,jackets,H&M,91.94,USD,"S, L, XXL","White, Red",linen,hand wash recommended,3.9,628,Limited Stock,Spring/Summer,Unisex,Kids,Trendy,"jackets, H&M, Formal, fashion",True,Italy,2025-03-27
25,Nike Vintage Belts,Stylish belts with slim fit design. Perfect for special events. Made from high-quality polyester. Dry Clean Only.,Fashion,Accessories,belts,Nike,561.26,USD,"6, 8, 9, 5, 10","Navy, Green",leather,dry clean only,3.1,1239,Out of Stock,Fall/Winter,Men,Kids,Formal,"belts, Nike, Modern, fashion",False,China,2025-04-17
26,Gap Urban Shorts,Stylish shorts with oversized design. Perfect for special events. Made from high-quality silk. Delicate Cycle.,Fashion,Clothing,shorts,Gap,297.82,USD,"M, XL, XXL, S, XS","Gray, Navy",synthetic blend,hand wash recommended,4.5,1290,Limited Stock,Fall/Winter,Women,Adult,Classic,"shorts, Gap, Casual, fashion",True,China,2024-09-16
27,Nike Vintage Sandals,Stylish sandals with relaxed fit design. Perfect for business meetings. Made from high-quality leather. Dry Clean Only.,Fashion,Shoes,sandals,Nike,240.66,USD,"7, 9, 10, 8, 12","Beige, Pink, Blue, Navy",silk,delicate cycle,4.0,1167,In Stock,Spring/Summer,Unisex,Kids,Casual,"sandals, Nike, Urban, fashion",False,USA,2025-04-19
28,H&M Urban Sneakers,Stylish sneakers with regular fit design. Perfect for casual wear. Made from high-quality wool. Delicate Cycle.,Fashion,Shoes,sneakers,H&M,298.21,USD,"9, 12, 10","Gray, White",leather,delicate cycle,3.9,444,Out of Stock,Spring/Summer,Men,Teen,Casual,"sneakers, H&M, Premium, fashion",False,Turkey,2024-12-15
29,Uniqlo Modern Loafers,Stylish loafers with relaxed fit design. Perfect for business meetings. Made from high-quality denim. Dry Clean Only.,Fashion,Shoes,loafers,Uniqlo,145.5,USD,"5, 12, 10","Brown, Pink, White",cotton,hand wash recommended,3.9,1465,Out of Stock,Fall/Winter,Unisex,Teen,Trendy,"loafers, Uniqlo, Vintage, fashion",False,India,2025-03-20
30,Gap Formal Shirts,Stylish shirts with relaxed fit design. Perfect for formal occasions. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Clothing,shirts,Gap,29.47,USD,"L, XS, S, XXL, XL, M","Beige, White, Navy, Brown",synthetic blend,delicate cycle,4.6,1412,In Stock,Fall/Winter,Men,Adult,Sporty,"shirts, Gap, Vintage, fashion",False,China,2025-05-23
31,Adidas Essential Jeans,Stylish jeans with oversized design. Perfect for formal occasions. Made from high-quality polyester. Dry Clean Only.,Fashion,Clothing,jeans,Adidas,158.31,USD,"XXL, XL, M, XS","White, Green, Red",denim,hand wash recommended,4.6,488,In Stock,Spring/Summer,Men,Adult,Business,"jeans, Adidas, Urban, fashion",False,USA,2025-06-03
32,Uniqlo Designer Sandals,Stylish sandals with relaxed fit design. Perfect for special events. Made from high-quality denim. Dry Clean Only.,Fashion,Shoes,sandals,Uniqlo,67.03,USD,"12, 10, 9","Navy, Blue, Black, Gray, Green",silk,hand wash recommended,4.6,1391,Out of Stock,Spring/Summer,Men,Kids,Casual,"sandals, Uniqlo, Premium, fashion",False,Italy,2025-04-27
33,Adidas Essential Blazers,Stylish blazers with tailored fit design. Perfect for formal occasions. Made from high-quality wool. Delicate Cycle.,Fashion,Clothing,blazers,Adidas,197.59,USD,"XS, XL, XXL, M, S, L","White, Green, Blue, Brown",wool,dry clean only,3.5,339,Out of Stock,All Season,Men,Adult,Casual,"blazers, Adidas, Essential, fashion",True,India,2024-10-14
34,Ralph Lauren Modern Heels,Stylish heels with tailored fit design. Perfect for business meetings. Made from high-quality leather. Dry Clean Only.,Fashion,Shoes,heels,Ralph Lauren,106.71,USD,"8, 6, 11, 9","Green, Brown, Navy, Beige",denim,hand wash recommended,4.5,138,Limited Stock,Fall/Winter,Men,Teen,Formal,"heels, Ralph Lauren, Premium, fashion",True,USA,2025-01-30
35,Tommy Hilfiger Classic Athletic Shoes,Stylish athletic shoes with relaxed fit design. Perfect for formal occasions. Made from high-quality leather. Hand Wash Recommended.,Fashion,Shoes,athletic shoes,Tommy Hilfiger,384.83,USD,"9, 11, 8, 5, 7","Gray, Green, Beige, Red, Navy",synthetic blend,delicate cycle,3.2,734,Out of Stock,All Season,Women,Adult,Casual,"athletic shoes, Tommy Hilfiger, Vintage, fashion",False,China,2025-03-04
36,Gap Vintage Jeans,Stylish jeans with tailored fit design. Perfect for weekend outings. Made from high-quality synthetic blend. Dry Clean Only.,Fashion,Clothing,jeans,Gap,263.07,USD,"M, XL, L, S, XS","Brown, Beige, Red",polyester,delicate cycle,4.3,24,In Stock,All Season,Women,Adult,Trendy,"jeans, Gap, Modern, fashion",True,Turkey,2025-05-11
37,Zara Formal Flats,Stylish flats with slim fit design. Perfect for formal occasions. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Shoes,flats,Zara,83.78,USD,"9, 10, 6","Red, Gray, Beige",polyester,dry clean only,3.8,340,In Stock,Fall/Winter,Men,Adult,Casual,"flats, Zara, Premium, fashion",True,China,2025-03-15
38,Zara Signature Flats,Stylish flats with tailored fit design. Perfect for special events. Made from high-quality cotton. Machine Washable.,Fashion,Shoes,flats,Zara,50.43,USD,"10, 11, 9","Pink, Black, Gray, Blue, Navy",wool,machine washable,4.6,921,Out of Stock,Spring/Summer,Unisex,Kids,Sporty,"flats, Zara, Vintage, fashion",True,Turkey,2025-06-03
39,Levi's Premium Scarves,Stylish scarves with tailored fit design. Perfect for business meetings. Made from high-quality silk. Machine Washable.,Fashion,Accessories,scarves,Levi's,145.1,USD,"10, 9, 7, 8","White, Black, Navy, Blue",cotton,delicate cycle,5.0,1299,In Stock,Fall/Winter,Women,Kids,Classic,"scarves, Levi's, Urban, fashion",True,Turkey,2024-12-30
40,Nike Signature Heels,Stylish heels with oversized design. Perfect for casual wear. Made from high-quality linen. Delicate Cycle.,Fashion,Shoes,heels,Nike,134.06,USD,"8, 9, 5, 12, 6, 11","Black, Green, Pink",synthetic blend,dry clean only,4.6,839,In Stock,All Season,Men,Teen,Formal,"heels, Nike, Classic, fashion",False,Turkey,2025-07-26
41,H&M Signature Bags,Stylish bags with tailored fit design. Perfect for business meetings. Made from high-quality linen. Hand Wash Recommended.,Fashion,Accessories,bags,H&M,482.3,USD,"6, 11, 10","Gray, Green, White, Brown",leather,hand wash recommended,4.2,1437,Limited Stock,Spring/Summer,Women,Adult,Classic,"bags, H&M, Classic, fashion",True,India,2025-02-10
42,Zara Essential Scarves,Stylish scarves with slim fit design. Perfect for business meetings. Made from high-quality cotton. Machine Washable.,Fashion,Accessories,scarves,Zara,401.55,USD,"8, 10, 5","Gray, Black, Red, Navy",synthetic blend,delicate cycle,3.0,207,Limited Stock,Spring/Summer,Men,Teen,Casual,"scarves, Zara, Signature, fashion",True,Bangladesh,2024-09-20
43,Calvin Klein Premium Belts,Stylish belts with tailored fit design. Perfect for business meetings. Made from high-quality denim. Machine Washable.,Fashion,Accessories,belts,Calvin Klein,452.08,USD,"5, 6, 7, 8, 10, 12","Brown, Blue, Gray, Black",synthetic blend,dry clean only,3.2,1474,Limited Stock,Spring/Summer,Men,Kids,Sporty,"belts, Calvin Klein, Formal, fashion",False,Vietnam,2025-04-01
44,Nike Designer Jeans,Stylish jeans with slim fit design. Perfect for special events. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Clothing,jeans,Nike,232.71,USD,"M, XXL, L, XS, XL","White, Pink, Red",cotton,delicate cycle,3.7,212,In Stock,Fall/Winter,Unisex,Kids,Trendy,"jeans, Nike, Designer, fashion",False,India,2025-02-01
45,Adidas Vintage Watches,Stylish watches with regular fit design. Perfect for casual wear. Made from high-quality silk. Machine Washable.,Fashion,Accessories,watches,Adidas,149.31,USD,"5, 7, 6, 9, 10","Black, Navy, Red, Gray",polyester,hand wash recommended,4.8,823,Out of Stock,Fall/Winter,Men,Kids,Formal,"watches, Adidas, Premium, fashion",True,Turkey,2025-08-21
46,Uniqlo Vintage Dresses,Stylish dresses with relaxed fit design. Perfect for formal occasions. Made from high-quality leather. Machine Washable.,Fashion,Clothing,dresses,Uniqlo,60.75,USD,"XS, XL, S, L, M","White, Gray, Navy, Brown",leather,dry clean only,4.1,898,In Stock,All Season,Unisex,Teen,Trendy,"dresses, Uniqlo, Vintage, fashion",True,Turkey,2024-11-27
47,H&M Formal Scarves,Stylish scarves with tailored fit design. Perfect for formal occasions. Made from high-quality leather. Delicate Cycle.,Fashion,Accessories,scarves,H&M,212.91,USD,"12, 5, 8, 9, 6, 10","Navy, Green, Blue",leather,dry clean only,4.0,811,Limited Stock,Spring/Summer,Women,Kids,Sporty,"scarves, H&M, Urban, fashion",True,Vietnam,2024-12-30
48,Tommy Hilfiger Modern Sneakers,Stylish sneakers with slim fit design. Perfect for special events. Made from high-quality denim. Hand Wash Recommended.,Fashion,Shoes,sneakers,Tommy Hilfiger,108.12,USD,"6, 12, 10, 7, 5","Pink, White, Gray, Brown",cotton,hand wash recommended,4.9,657,In Stock,Spring/Summer,Women,Kids,Casual,"sneakers, Tommy Hilfiger, Urban, fashion",True,Bangladesh,2025-04-03
49,Adidas Essential Hats,Stylish hats with oversized design. Perfect for weekend outings. Made from high-quality silk. Dry Clean Only.,Fashion,Accessories,hats,Adidas,296.01,USD,"9, 11, 10, 7, 12, 5","Blue, Green, Navy",linen,hand wash recommended,4.2,1492,In Stock,All Season,Unisex,Adult,Casual,"hats, Adidas, Classic, fashion",False,India,2025-08-18
50,Nike Designer Heels,Stylish heels with slim fit design. Perfect for weekend outings. Made from high-quality cotton. Dry Clean Only.,Fashion,Shoes,heels,Nike,230.89,USD,"5, 10, 11","Pink, Blue, Black, Beige",denim,delicate cycle,3.2,1208,In Stock,Spring/Summer,Men,Adult,Business,"heels, Nike, Formal, fashion",False,USA,2024-11-18
51,H&M Casual Scarves,Stylish scarves with relaxed fit design. Perfect for weekend outings. Made from high-quality denim. Delicate Cycle.,Fashion,Accessories,scarves,H&M,401.61,USD,"5, 11, 12, 8, 6, 10","Red, White, Gray, Beige",wool,delicate cycle,4.5,1086,In Stock,All Season,Unisex,Adult,Formal,"scarves, H&M, Essential, fashion",False,China,2025-07-17
52,Zara Essential Sandals,Stylish sandals with tailored fit design. Perfect for business meetings. Made from high-quality synthetic blend. Hand Wash Recommended.,Fashion,Shoes,sandals,Zara,305.17,USD,"10, 11, 5","Brown, Blue, Pink",polyester,delicate cycle,3.3,1315,Out of Stock,Spring/Summer,Men,Kids,Formal,"sandals, Zara, Signature, fashion",False,Bangladesh,2024-12-04
53,H&M Signature Heels,Stylish heels with relaxed fit design. Perfect for casual wear. Made from high-quality denim. Dry Clean Only.,Fashion,Shoes,heels,H&M,322.44,USD,"6, 11, 7, 9","Gray, White, Pink",synthetic blend,hand wash recommended,3.8,497,Limited Stock,All Season,Women,Adult,Trendy,"heels, H&M, Designer, fashion",True,Italy,2025-03-17
54,Calvin Klein Signature Skirts,Stylish skirts with tailored fit design. Perfect for casual wear. Made from high-quality synthetic blend. Machine Washable.,Fashion,Clothing,skirts,Calvin Klein,183.42,USD,"L, XS, XXL, S","Pink, Beige, Blue, Red",linen,hand wash recommended,4.9,537,In Stock,Fall/Winter,Men,Kids,Business,"skirts, Calvin Klein, Formal, fashion",True,Turkey,2024-08-24
55,Calvin Klein Designer Jackets,Stylish jackets with oversized design. Perfect for business meetings. Made from high-quality silk. Machine Washable.,Fashion,Clothing,jackets,Calvin Klein,147.79,USD,"S, L, XXL, XS, XL, M","White, Beige, Gray, Red",linen,delicate cycle,3.8,385,Limited Stock,Fall/Winter,Women,Teen,Casual,"jackets, Calvin Klein, Urban, fashion",True,India,2025-03-19
56,Calvin Klein Essential Dresses,Stylish dresses with slim fit design. Perfect for special events. Made from high-quality linen. Hand Wash Recommended.,Fashion,Clothing,dresses,Calvin Klein,73.09,USD,"L, XL, XXL, XS, M, S","Red, Brown, Gray, Pink, Navy",cotton,dry clean only,4.5,1273,Limited Stock,Fall/Winter,Men,Adult,Formal,"dresses, Calvin Klein, Urban, fashion",False,Vietnam,2024-11-19
57,Gap Modern Sweaters,Stylish sweaters with regular fit design. Perfect for casual wear. Made from high-quality cotton. Dry Clean Only.,Fashion,Clothing,sweaters,Gap,194.68,USD,"XL, XXL, L, XS","Navy, Pink",polyester,dry clean only,3.5,570,In Stock,Fall/Winter,Men,Kids,Trendy,"sweaters, Gap, Modern, fashion",False,Bangladesh,2025-02-28
58,Ralph Lauren Premium Flats,Stylish flats with relaxed fit design. Perfect for formal occasions. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Shoes,flats,Ralph Lauren,81.66,USD,"11, 6, 5, 9","Brown, Black, White",synthetic blend,hand wash recommended,4.7,642,Out of Stock,All Season,Unisex,Kids,Business,"flats, Ralph Lauren, Essential, fashion",False,Turkey,2025-07-26
59,Adidas Modern Dresses,Stylish dresses with tailored fit design. Perfect for weekend outings. Made from high-quality denim. Machine Washable.,Fashion,Clothing,dresses,Adidas,30.89,USD,"XXL, XL, L, S, XS, M","Green, Brown, Pink, White",cotton,hand wash recommended,3.2,91,Out of Stock,All Season,Women,Teen,Trendy,"dresses, Adidas, Essential, fashion",False,Vietnam,2025-01-18
60,Ralph Lauren Essential Bags,Stylish bags with oversized design. Perfect for business meetings. Made from high-quality leather. Delicate Cycle.,Fashion,Accessories,bags,Ralph Lauren,416.85,USD,"9, 10, 7, 6, 8","Green, Red",leather,machine washable,4.5,166,Limited Stock,All Season,Women,Kids,Classic,"bags, Ralph Lauren, Modern, fashion",False,Vietnam,2025-05-17
61,Levi's Urban Boots,Stylish boots with oversized design. Perfect for formal occasions. Made from high-quality leather. Delicate Cycle.,Fashion,Shoes,boots,Levi's,166.79,USD,"9, 6, 7, 10","Beige, Blue",synthetic blend,hand wash recommended,4.1,712,Limited Stock,All Season,Women,Adult,Trendy,"boots, Levi's, Urban, fashion",False,India,2025-05-04
62,Uniqlo Essential Scarves,Stylish scarves with regular fit design. Perfect for weekend outings. Made from high-quality polyester. Dry Clean Only.,Fashion,Accessories,scarves,Uniqlo,423.2,USD,"11, 6, 12, 9, 10, 7","Green, Navy",leather,dry clean only,3.3,428,Limited Stock,Fall/Winter,Unisex,Adult,Casual,"scarves, Uniqlo, Designer, fashion",True,USA,2025-08-05
63,Uniqlo Classic Athletic Shoes,Stylish athletic shoes with regular fit design. Perfect for special events. Made from high-quality silk. Hand Wash Recommended.,Fashion,Shoes,athletic shoes,Uniqlo,179.82,USD,"8, 5, 6, 9, 12, 10","Navy, Black, White, Pink, Red",leather,hand wash recommended,3.0,1317,In Stock,Fall/Winter,Unisex,Adult,Formal,"athletic shoes, Uniqlo, Urban, fashion",True,Italy,2025-04-28
64,Adidas Modern Jewelry,Stylish jewelry with slim fit design. Perfect for casual wear. Made from high-quality denim. Dry Clean Only.,Fashion,Accessories,jewelry,Adidas,318.64,USD,"6, 9, 12, 8, 5, 11","Beige, Green",wool,delicate cycle,4.9,351,In Stock,Fall/Winter,Women,Kids,Business,"jewelry, Adidas, Essential, fashion",False,Turkey,2025-05-23
65,Ralph Lauren Casual Heels,Stylish heels with tailored fit design. Perfect for casual wear. Made from high-quality cotton. Dry Clean Only.,Fashion,Shoes,heels,Ralph Lauren,299.11,USD,"7, 12, 10, 5","Brown, Green, Navy",silk,hand wash recommended,4.5,224,Limited Stock,Fall/Winter,Men,Adult,Trendy,"heels, Ralph Lauren, Classic, fashion",True,India,2024-10-20
66,Adidas Signature Heels,Stylish heels with tailored fit design. Perfect for business meetings. Made from high-quality denim. Dry Clean Only.,Fashion,Shoes,heels,Adidas,352.79,USD,"7, 9, 8, 6, 12","Brown, White, Red",denim,dry clean only,3.9,5,In Stock,Fall/Winter,Unisex,Kids,Sporty,"heels, Adidas, Casual, fashion",True,Italy,2025-01-02
67,H&M Formal Sandals,Stylish sandals with tailored fit design. Perfect for weekend outings. Made from high-quality leather. Delicate Cycle.,Fashion,Shoes,sandals,H&M,206.7,USD,"7, 5, 12, 6, 8","Beige, Pink, Blue, Gray, Navy",silk,hand wash recommended,3.4,1192,Out of Stock,Fall/Winter,Women,Teen,Casual,"sandals, H&M, Vintage, fashion",False,Italy,2025-05-19
68,Levi's Vintage Bags,Stylish bags with regular fit design. Perfect for special events. Made from high-quality leather. Machine Washable.,Fashion,Accessories,bags,Levi's,256.24,USD,"9, 5, 8, 11","Pink, White, Green",wool,dry clean only,3.7,1053,In Stock,All Season,Women,Adult,Sporty,"bags, Levi's, Essential, fashion",True,Turkey,2025-06-02
69,Gap Casual Boots,Stylish boots with slim fit design. Perfect for weekend outings. Made from high-quality polyester. Dry Clean Only.,Fashion,Shoes,boots,Gap,376.98,USD,"6, 7, 8, 12","Blue, Beige, Green, Navy, White",wool,dry clean only,4.6,1135,Limited Stock,All Season,Women,Kids,Formal,"boots, Gap, Premium, fashion",False,Italy,2025-03-15
70,H&M Essential Shorts,Stylish shorts with oversized design. Perfect for business meetings. Made from high-quality polyester. Hand Wash Recommended.,Fashion,Clothing,shorts,H&M,148.61,USD,"S, L, XL, XS, M, XXL","Beige, Black",denim,machine washable,3.9,218,Out of Stock,All Season,Men,Kids,Casual,"shorts, H&M, Modern, fashion",False,Bangladesh,2025-01-01
71,H&M Classic Flats,Stylish flats with tailored fit design. Perfect for formal occasions. Made from high-quality wool. Machine Washable.,Fashion,Shoes,flats,H&M,317.28,USD,"10, 5, 9, 11, 12, 7","Navy, Red, Black",leather,dry clean only,4.2,667,Limited Stock,Spring/Summer,Men,Adult,Sporty,"flats, H&M, Urban, fashion",False,China,2025-04-09
72,Tommy Hilfiger Casual Sandals,Stylish sandals with slim fit design. Perfect for formal occasions. Made from high-quality linen. Hand Wash Recommended.,Fashion,Shoes,sandals,Tommy Hilfiger,346.8,USD,"8, 10, 7, 9, 11, 12","White, Gray, Pink",synthetic blend,delicate cycle,3.5,1224,Out of Stock,Fall/Winter,Men,Kids,Formal,"sandals, Tommy Hilfiger, Modern, fashion",True,Vietnam,2024-09-11
73,Tommy Hilfiger Modern Shirts,Stylish shirts with regular fit design. Perfect for casual wear. Made from high-quality cotton. Hand Wash Recommended.,Fashion,Clothing,shirts,Tommy Hilfiger,115.0,USD,"XXL, XS, S, L, M, XL","Brown, Beige, Green, Navy",denim,hand wash recommended,4.4,1274,In Stock,Spring/Summer,Women,Adult,Trendy,"shirts, Tommy Hilfiger, Premium, fashion",True,Vietnam,2025-05-22
74,Calvin Klein Urban Belts,Stylish belts with oversized design. Perfect for special events. Made from high-quality denim. Machine Washable.,Fashion,Accessories,belts,Calvin Klein,104.71,USD,"5, 12, 8, 9, 7, 11","White, Gray, Green",silk,machine washable,3.2,186,Out of Stock,Fall/Winter,Men,Kids,Sporty,"belts, Calvin Klein, Modern, fashion",False,Italy,2025-06-06
