id,name,description,category,subcategory,brand,price,currency,rating,review_count,availability,features,tags,color,weight_kg,dimensions_cm,material,country_origin,warranty_months,eco_friendly,release_date,sku
11,Samsung Pro 188,"Advanced mobile device featuring latest processor and camera system. Featuring wireless charging, water resistant, fast charging. ",Electronics,Smartphones,Samsung,924.4,USD,3.8,4669,In Stock,"wireless charging, water resistant, fast charging, premium build, fingerprint sensor","wireless charging, fingerprint sensor, premium build, water resistant, Samsung, fast charging",Red,10.0,19x111x40,Rubber,Germany,60,True,2024-06-18,SAM-SMA-000011
12,Nokia Galaxy 174,"High-performance smartphone with exceptional battery life and display quality. Featuring face recognition, multiple cameras, wireless charging. ",Electronics,Smartphones,Nokia,781.55,USD,3.9,2839,In Stock,"face recognition, multiple cameras, wireless charging","multiple cameras, face recognition, Nokia, wireless charging",Blue,6.96,136x125x3,Leather,USA,60,True,2025-03-31,NOK-SMA-000012
13,MSI MacBook 948,"High-performance notebook with advanced features and sleek design. Featuring fast processor, backlit keyboard, lightweight design. ",Electronics,Laptops,MSI,1637.03,USD,3.8,4549,In Stock,"fast processor, backlit keyboard, lightweight design, long battery life","MSI, backlit keyboard, fast processor, lightweight design, long battery life",Pink,11.59,102x20x16,Wood,Japan,6,False,2023-04-28,MSI-LAP-000013
14,Dell Inspiron 190,"Powerful laptop designed for professional work and creative tasks. Featuring SSD storage, premium build quality, dedicated graphics. ",Electronics,Laptops,Dell,714.48,USD,4.6,3828,In Stock,"SSD storage, premium build quality, dedicated graphics, long battery life","Dell, dedicated graphics, long battery life, premium build quality, SSD storage",Brown,19.17,145x48x52,Metal,Germany,60,True,2025-03-01,DEL-LAP-000014
15,Ralph Lauren Premium casual wear,"Stylish and comfortable clothing perfect for everyday wear. Featuring versatile styling, easy care. Made from high-quality cotton. Available in sizes L-XXL-XL.",Fashion,Clothing,Ralph Lauren,72.12,USD,3.5,2296,In Stock,"versatile styling, easy care","versatile styling, Ralph Lauren, easy care",Purple,11.24,34x16x45,Glass,Germany,36,True,2025-05-26,RAL-CLO-000015
16,Razer ROG 727,"Powerful laptop designed for professional work and creative tasks. Featuring SSD storage, touchscreen. ",Electronics,Laptops,Razer,415.64,USD,3.7,431,Out of Stock,"SSD storage, touchscreen","touchscreen, SSD storage, Razer",Brown,8.77,98x104x65,Plastic,Japan,12,True,2024-07-16,RAZ-LAP-000016
17,Huawei Edge 152,"High-performance smartphone with exceptional battery life and display quality. Featuring water resistant, fast charging, high refresh rate. ",Electronics,Smartphones,Huawei,753.4,USD,3.2,3319,In Stock,"water resistant, fast charging, high refresh rate, multiple cameras","water resistant, multiple cameras, fast charging, high refresh rate, Huawei",Green,17.51,58x70x15,Plastic,China,36,True,2024-10-27,HUA-SMA-000017
18,Ralph Lauren Luxury accessories,"Stylish and comfortable clothing perfect for everyday wear. Featuring classic style, comfortable fit, premium materials. Made from high-quality wool. Available in sizes XXL-XS-XL.",Fashion,Clothing,Ralph Lauren,16.73,USD,4.4,3218,In Stock,"classic style, comfortable fit, premium materials","Ralph Lauren, classic style, premium materials, comfortable fit",Yellow,19.24,137x147x29,Leather,Vietnam,36,False,2025-04-05,RAL-CLO-000018
19,Razer ThinkPad 154,"Versatile laptop perfect for business, gaming, and multimedia use. Featuring fast charging, high resolution display, lightweight design. ",Electronics,Laptops,Razer,841.38,USD,3.6,4473,In Stock,"fast charging, high resolution display, lightweight design","Razer, fast charging, high resolution display, lightweight design",Pink,15.56,57x91x72,Plastic,Vietnam,60,False,2023-03-01,RAZ-LAP-000019
20,Apple Galaxy 671,"Premium mobile phone with professional-grade camera and fast performance. Featuring high refresh rate, OLED display, face recognition. ",Electronics,Smartphones,Apple,281.3,USD,2.7,509,In Stock,"high refresh rate, OLED display, face recognition","OLED display, face recognition, high refresh rate, Apple",Green,22.43,89x138x20,Fabric,Germany,36,True,2023-05-06,APP-SMA-000020
21,MSI Inspiron 140,"Versatile laptop perfect for business, gaming, and multimedia use. Featuring premium build quality, SSD storage, high resolution display. ",Electronics,Laptops,MSI,1398.37,USD,4.9,342,In Stock,"premium build quality, SSD storage, high resolution display","high resolution display, SSD storage, MSI, premium build quality",Pink,24.74,124x41x80,Ceramic,Taiwan,12,True,2023-05-06,MSI-LAP-000021
22,Ralph Lauren Essential accessories,"Versatile wardrobe essential that combines style and functionality. Featuring stylish design, modern design. Made from high-quality denim. Available in sizes XL-XXL-M.",Fashion,Clothing,Ralph Lauren,174.27,USD,2.9,2330,Limited Stock,"stylish design, modern design","modern design, Ralph Lauren, stylish design",Blue,20.25,122x108x73,Metal,USA,12,False,2024-08-03,RAL-CLO-000022
23,Tommy Hilfiger Luxury accessories,"Versatile wardrobe essential that combines style and functionality. Featuring all-season wear, premium materials. Made from high-quality linen. Available in sizes XS-M-S.",Fashion,Clothing,Tommy Hilfiger,213.73,USD,4.9,1151,Limited Stock,"all-season wear, premium materials","premium materials, Tommy Hilfiger, all-season wear",Gray,1.83,130x69x16,Leather,Germany,60,True,2024-12-27,TOM-CLO-000023
24,Audio-Technica WH 163,"Noise-cancelling headphones perfect for travel and focused listening. Featuring foldable design, quick charge, long battery life. ",Electronics,Headphones,Audio-Technica,199.57,USD,2.7,128,Out of Stock,"foldable design, quick charge, long battery life, wireless connectivity, noise cancellation","wireless connectivity, noise cancellation, long battery life, quick charge, foldable design, Audio-Technica",Black,3.09,38x72x78,Wood,South Korea,24,False,2024-05-15,AUD-HEA-000024
25,Huawei Ultra 543,"Flagship smartphone with cutting-edge technology and premium design. Featuring 5G connectivity, fast charging, multiple cameras. ",Electronics,Smartphones,Huawei,688.95,USD,4.2,1271,Limited Stock,"5G connectivity, fast charging, multiple cameras, premium build, OLED display","fast charging, OLED display, 5G connectivity, multiple cameras, Huawei, premium build",Blue,13.8,129x60x58,Ceramic,South Korea,24,True,2023-08-09,HUA-SMA-000025
26,Gap Essential dresses,"Contemporary design with classic appeal for modern lifestyle. Featuring classic style, comfortable fit, easy care. Made from high-quality silk. Available in sizes XL-M-L.",Fashion,Clothing,Gap,112.0,USD,4.2,1302,Out of Stock,"classic style, comfortable fit, easy care","easy care, classic style, comfortable fit, Gap",Green,0.27,141x87x27,Metal,Japan,60,True,2024-07-24,GAP-CLO-000026
27,Bose DT 995,"Professional-grade headphones for audiophiles and content creators. Featuring comfortable fit, foldable design, voice assistant. ",Electronics,Headphones,Bose,343.63,USD,3.4,781,In Stock,"comfortable fit, foldable design, voice assistant, touch controls","comfortable fit, foldable design, Bose, touch controls, voice assistant",Yellow,19.09,121x48x3,Plastic,India,36,True,2023-11-22,BOS-HEA-000027
28,Apple Lite 254,"Advanced mobile device featuring latest processor and camera system. Featuring premium build, water resistant. ",Electronics,Smartphones,Apple,386.43,USD,2.8,1536,Pre-order,"premium build, water resistant","premium build, water resistant, Apple",Pink,2.98,81x79x5,Glass,Vietnam,24,False,2024-06-05,APP-SMA-000028
29,Oppo Plus 287,"Flagship smartphone with cutting-edge technology and premium design. Featuring OLED display, premium build. ",Electronics,Smartphones,Oppo,986.32,USD,3.0,257,In Stock,"OLED display, premium build","OLED display, premium build, Oppo",Pink,7.29,89x112x76,Metal,USA,60,True,2024-05-21,OPP-SMA-000029
30,Sony Lite 430,"High-performance smartphone with exceptional battery life and display quality. Featuring high refresh rate, fast charging. ",Electronics,Smartphones,Sony,837.89,USD,2.7,2371,Limited Stock,"high refresh rate, fast charging","fast charging, Sony, high refresh rate",Brown,12.47,97x5x49,Plastic,South Korea,12,False,2025-05-19,SON-SMA-000030
31,Oppo Ultra 980,"High-performance smartphone with exceptional battery life and display quality. Featuring wireless charging, face recognition, water resistant. ",Electronics,Smartphones,Oppo,1236.67,USD,4.6,3233,In Stock,"wireless charging, face recognition, water resistant","Oppo, face recognition, water resistant, wireless charging",Yellow,1.66,100x115x54,Glass,USA,24,True,2022-12-16,OPP-SMA-000031
32,Wayfair Luxury wall art,"Modern home furnishing that combines style and functionality. Featuring premium quality, affordable pricing, durable materials. Dimensions: 66x18x94cm. Crafted from fabric.",Home & Garden,Home Decor,Wayfair,499.67,USD,2.9,4373,In Stock,"premium quality, affordable pricing, durable materials","affordable pricing, Wayfair, durable materials, premium quality",Blue,22.09,20x145x42,Wood,Germany,12,False,2023-08-07,WAY-HOM-000032
33,Gap Luxury formal wear,"Stylish and comfortable clothing perfect for everyday wear. Featuring classic style, stylish design, versatile styling. Made from high-quality silk. Available in sizes XS-L-XL.",Fashion,Clothing,Gap,126.95,USD,5.0,2527,In Stock,"classic style, stylish design, versatile styling","versatile styling, stylish design, classic style, Gap",Yellow,15.27,11x120x28,Wood,Vietnam,12,False,2023-08-14,GAP-CLO-000033
34,Calvin Klein Luxury jeans,"Premium fashion item with attention to detail and quality craftsmanship. Featuring comfortable fit, premium materials, breathable fabric. Made from high-quality polyester. Available in sizes XL-L-XS.",Fashion,Clothing,Calvin Klein,298.69,USD,3.1,3646,Out of Stock,"comfortable fit, premium materials, breathable fabric, modern design, durable construction","modern design, comfortable fit, durable construction, premium materials, Calvin Klein, breathable fabric",Black,8.3,21x74x25,Wood,South Korea,24,False,2024-02-20,CAL-CLO-000034
35,Sony Ultra 895,"Flagship smartphone with cutting-edge technology and premium design. Featuring high refresh rate, water resistant, premium build. ",Electronics,Smartphones,Sony,476.91,USD,3.7,4430,In Stock,"high refresh rate, water resistant, premium build","premium build, Sony, high refresh rate, water resistant",Purple,1.21,116x149x52,Plastic,Japan,24,False,2024-03-28,SON-SMA-000035
36,Wayfair Luxury outdoor,"Designer piece that adds elegance and character to any space. Featuring eco-friendly, versatile use. Dimensions: 110x139x11cm. Crafted from glass.",Home & Garden,Home Decor,Wayfair,200.54,USD,3.8,1809,In Stock,"eco-friendly, versatile use","versatile use, eco-friendly, Wayfair",Brown,8.45,11x73x78,Rubber,South Korea,6,True,2024-11-19,WAY-HOM-000036
37,Nokia Standard 519,"Advanced mobile device featuring latest processor and camera system. Featuring fingerprint sensor, wireless charging, OLED display. ",Electronics,Smartphones,Nokia,433.58,USD,3.4,4511,In Stock,"fingerprint sensor, wireless charging, OLED display, 5G connectivity","Nokia, 5G connectivity, OLED display, fingerprint sensor, wireless charging",Purple,16.43,56x127x78,Rubber,USA,12,True,2025-08-22,NOK-SMA-000037
38,West Elm Modern bedding,"Modern home furnishing that combines style and functionality. Featuring stylish appearance, easy assembly, space-saving. Dimensions: 81x179x24cm. Crafted from metal.",Home & Garden,Home Decor,West Elm,102.61,USD,3.0,853,In Stock,"stylish appearance, easy assembly, space-saving, eco-friendly","West Elm, easy assembly, space-saving, eco-friendly, stylish appearance",Pink,11.13,72x40x34,Rubber,Taiwan,36,True,2024-10-21,WES-HOM-000038
39,Apple WH 250,"Premium wireless headphones with superior sound quality and comfort. Featuring multipoint connection, foldable design, long battery life. ",Electronics,Headphones,Apple,429.66,USD,4.9,3699,Out of Stock,"multipoint connection, foldable design, long battery life","long battery life, foldable design, Apple, multipoint connection",Gray,3.15,131x131x47,Ceramic,China,24,False,2024-10-21,APP-HEA-000039
40,Gap Luxury outerwear,"Versatile wardrobe essential that combines style and functionality. Featuring stylish design, comfortable fit, breathable fabric. Made from high-quality polyester. Available in sizes S-XS-XL.",Fashion,Clothing,Gap,133.14,USD,3.6,4511,In Stock,"stylish design, comfortable fit, breathable fabric","Gap, stylish design, comfortable fit, breathable fabric",Green,16.22,73x109x67,Rubber,China,60,False,2023-11-13,GAP-CLO-000040
41,Apple Ultra 856,"Advanced mobile device featuring latest processor and camera system. Featuring 5G connectivity, wireless charging, face recognition. ",Electronics,Smartphones,Apple,270.19,USD,3.0,607,In Stock,"5G connectivity, wireless charging, face recognition","Apple, face recognition, wireless charging, 5G connectivity",Black,24.11,135x37x74,Rubber,India,6,True,2025-02-13,APP-SMA-000041
42,Apple AirPods 892,"Noise-cancelling headphones perfect for travel and focused listening. Featuring premium sound quality, multipoint connection, noise cancellation. ",Electronics,Headphones,Apple,262.5,USD,3.0,3487,In Stock,"premium sound quality, multipoint connection, noise cancellation","Apple, multipoint connection, premium sound quality, noise cancellation",Yellow,22.67,55x55x2,Plastic,USA,36,True,2022-09-14,APP-HEA-000042
43,Motorola Note 751,"Flagship smartphone with cutting-edge technology and premium design. Featuring premium build, multiple cameras. ",Electronics,Smartphones,Motorola,291.69,USD,4.8,2075,In Stock,"premium build, multiple cameras","multiple cameras, Motorola, premium build",Pink,24.12,57x147x95,Glass,USA,24,True,2024-01-10,MOT-SMA-000043
44,Bose ATH 966,"Noise-cancelling headphones perfect for travel and focused listening. Featuring premium sound quality, noise cancellation, voice assistant. ",Electronics,Headphones,Bose,208.61,USD,3.2,3059,In Stock,"premium sound quality, noise cancellation, voice assistant, multipoint connection","Bose, noise cancellation, voice assistant, multipoint connection, premium sound quality",Blue,5.25,17x66x45,Metal,Germany,12,False,2024-09-21,BOS-HEA-000044
45,Lenovo Pavilion 202,"Powerful laptop designed for professional work and creative tasks. Featuring premium build quality, SSD storage, fast processor. ",Electronics,Laptops,Lenovo,1201.9,USD,4.1,2669,Out of Stock,"premium build quality, SSD storage, fast processor, dedicated graphics","fast processor, dedicated graphics, premium build quality, SSD storage, Lenovo",White,24.57,8x97x60,Glass,South Korea,6,False,2023-08-08,LEN-LAP-000045
46,Williams Sonoma Modern lighting,"Modern home furnishing that combines style and functionality. Featuring affordable pricing, functional design. Dimensions: 107x185x65cm. Crafted from glass.",Home & Garden,Home Decor,Williams Sonoma,413.16,USD,4.0,2421,Limited Stock,"affordable pricing, functional design","affordable pricing, Williams Sonoma, functional design",Red,17.0,22x52x13,Rubber,India,6,False,2023-09-23,WIL-HOM-000046
47,Ralph Lauren Premium outerwear,"Premium fashion item with attention to detail and quality craftsmanship. Featuring breathable fabric, durable construction, stylish design. Made from high-quality cotton. Available in sizes XS-XL-XXL.",Fashion,Clothing,Ralph Lauren,239.49,USD,4.6,1838,In Stock,"breathable fabric, durable construction, stylish design, premium materials","durable construction, stylish design, breathable fabric, Ralph Lauren, premium materials",Purple,12.12,23x56x48,Plastic,South Korea,36,False,2022-08-31,RAL-CLO-000047
48,Microsoft Blade 562,"High-performance notebook with advanced features and sleek design. Featuring SSD storage, high resolution display, fast charging. ",Electronics,Laptops,Microsoft,1639.54,USD,3.4,3365,In Stock,"SSD storage, high resolution display, fast charging","SSD storage, Microsoft, high resolution display, fast charging",Black,6.77,144x50x23,Ceramic,South Korea,6,False,2023-10-18,MIC-LAP-000048
49,Apple ROG 472,"High-performance notebook with advanced features and sleek design. Featuring high resolution display, touchscreen, SSD storage. ",Electronics,Laptops,Apple,1673.86,USD,4.0,2608,In Stock,"high resolution display, touchscreen, SSD storage","SSD storage, Apple, high resolution display, touchscreen",Purple,20.9,94x93x34,Glass,South Korea,60,False,2022-12-15,APP-LAP-000049
50,AKG SRH 343,"Professional-grade headphones for audiophiles and content creators. Featuring touch controls, long battery life, quick charge. ",Electronics,Headphones,AKG,531.51,USD,4.8,261,In Stock,"touch controls, long battery life, quick charge, comfortable fit, voice assistant","touch controls, AKG, quick charge, voice assistant, long battery life, comfortable fit",Blue,6.1,119x23x66,Rubber,Germany,12,True,2023-01-08,AKG-HEA-000050
51,Beyerdynamic Live 287,"Premium wireless headphones with superior sound quality and comfort. Featuring noise cancellation, long battery life. ",Electronics,Headphones,Beyerdynamic,398.54,USD,3.1,1617,In Stock,"noise cancellation, long battery life","long battery life, noise cancellation, Beyerdynamic",Pink,10.2,38x102x45,Rubber,Taiwan,36,False,2023-03-12,BEY-HEA-000051
52,HomeGoods Luxury rugs,"Practical home solution with contemporary aesthetic appeal. Featuring modern design, durable materials, affordable pricing. Dimensions: 188x118x60cm. Crafted from metal.",Home & Garden,Home Decor,HomeGoods,283.27,USD,2.8,1078,Limited Stock,"modern design, durable materials, affordable pricing, versatile use, eco-friendly","HomeGoods, durable materials, modern design, affordable pricing, eco-friendly, versatile use",White,13.53,140x78x39,Leather,Taiwan,36,False,2024-08-03,HOM-HOM-000052
53,Microsoft Pavilion 902,"Powerful laptop designed for professional work and creative tasks. Featuring high resolution display, premium build quality, dedicated graphics. ",Electronics,Laptops,Microsoft,1099.26,USD,4.6,1203,Limited Stock,"high resolution display, premium build quality, dedicated graphics, backlit keyboard, touchscreen","Microsoft, high resolution display, dedicated graphics, premium build quality, touchscreen, backlit keyboard",Yellow,21.49,54x118x11,Glass,Vietnam,24,True,2022-11-04,MIC-LAP-000053
54,Apple Edge 969,"Advanced mobile device featuring latest processor and camera system. Featuring 5G connectivity, fingerprint sensor. ",Electronics,Smartphones,Apple,213.28,USD,4.3,3744,Out of Stock,"5G connectivity, fingerprint sensor","Apple, 5G connectivity, fingerprint sensor",Red,3.52,90x39x56,Fabric,Taiwan,36,False,2022-08-27,APP-SMA-000054
55,AKG DT 572,"Professional-grade headphones for audiophiles and content creators. Featuring comfortable fit, premium sound quality, voice assistant. ",Electronics,Headphones,AKG,335.26,USD,4.9,1048,In Stock,"comfortable fit, premium sound quality, voice assistant, wireless connectivity","comfortable fit, voice assistant, AKG, premium sound quality, wireless connectivity",Brown,7.72,47x20x8,Wood,South Korea,12,True,2025-07-31,AKG-HEA-000055
56,Levi's Luxury shoes,"Contemporary design with classic appeal for modern lifestyle. Featuring durable construction, comfortable fit, modern design. Made from high-quality silk. Available in sizes M-L-XS.",Fashion,Clothing,Levi's,283.35,USD,4.7,802,In Stock,"durable construction, comfortable fit, modern design, breathable fabric","breathable fabric, durable construction, comfortable fit, Levi's, modern design",Pink,19.46,39x140x35,Glass,Germany,60,True,2024-11-28,LEV-CLO-000056
57,Dell Blade 307,"Premium portable computer with exceptional performance and build quality. Featuring dedicated graphics, high resolution display, fast processor. ",Electronics,Laptops,Dell,1086.46,USD,3.4,3358,Limited Stock,"dedicated graphics, high resolution display, fast processor","Dell, dedicated graphics, high resolution display, fast processor",Black,10.3,22x38x70,Leather,Taiwan,36,False,2023-07-06,DEL-LAP-000057
58,HomeGoods Modern bathroom,"Designer piece that adds elegance and character to any space. Featuring eco-friendly, modern design, durable materials. Dimensions: 106x58x89cm. Crafted from ceramic.",Home & Garden,Home Decor,HomeGoods,343.96,USD,2.9,2172,In Stock,"eco-friendly, modern design, durable materials, space-saving","space-saving, HomeGoods, modern design, eco-friendly, durable materials",Yellow,11.1,86x71x9,Metal,USA,24,True,2023-04-27,HOM-HOM-000058
59,Samsung Lite 420,"Advanced mobile device featuring latest processor and camera system. Featuring premium build, water resistant, OLED display. ",Electronics,Smartphones,Samsung,709.63,USD,3.6,2360,In Stock,"premium build, water resistant, OLED display, face recognition, 5G connectivity","5G connectivity, Samsung, face recognition, premium build, water resistant, OLED display",Yellow,24.58,121x65x27,Rubber,China,6,True,2024-01-10,SAM-SMA-000059
60,H&M Modern shoes,"Contemporary design with classic appeal for modern lifestyle. Featuring breathable fabric, classic style, versatile styling. Made from high-quality denim. Available in sizes L-S-XS.",Fashion,Clothing,H&M,209.94,USD,4.6,2794,In Stock,"breathable fabric, classic style, versatile styling, comfortable fit, stylish design","breathable fabric, classic style, versatile styling, stylish design, H&M, comfortable fit",Brown,6.36,59x44x40,Glass,Germany,12,True,2025-04-12,H&M-CLO-000060
61,JBL Studio 632,"High-fidelity audio experience with advanced driver technology. Featuring comfortable fit, long battery life, wireless connectivity. ",Electronics,Headphones,JBL,78.3,USD,4.0,2148,In Stock,"comfortable fit, long battery life, wireless connectivity, voice assistant","JBL, voice assistant, wireless connectivity, comfortable fit, long battery life",Pink,11.04,65x91x27,Rubber,USA,24,True,2024-02-08,JBL-HEA-000061
62,Restoration Hardware Essential lighting,"Premium home accessory crafted with attention to detail and quality. Featuring stylish appearance, functional design, durable materials. Dimensions: 20x129x43cm. Crafted from wood.",Home & Garden,Home Decor,Restoration Hardware,716.93,USD,4.2,4200,In Stock,"stylish appearance, functional design, durable materials, versatile use, affordable pricing","affordable pricing, durable materials, functional design, versatile use, Restoration Hardware, stylish appearance",Red,4.87,47x131x69,Ceramic,Taiwan,6,False,2022-12-22,RES-HOM-000062
63,CB2 Premium rugs,"Premium home accessory crafted with attention to detail and quality. Featuring stylish appearance, eco-friendly, functional design. Dimensions: 195x114x82cm. Crafted from ceramic.",Home & Garden,Home Decor,CB2,318.74,USD,3.3,4287,In Stock,"stylish appearance, eco-friendly, functional design, space-saving","space-saving, functional design, CB2, eco-friendly, stylish appearance",Pink,2.4,124x132x10,Metal,Taiwan,24,False,2024-07-06,CB2-HOM-000063
64,Lenovo ROG 314,"Versatile laptop perfect for business, gaming, and multimedia use. Featuring premium build quality, SSD storage. ",Electronics,Laptops,Lenovo,2014.53,USD,4.1,2509,In Stock,"premium build quality, SSD storage","Lenovo, premium build quality, SSD storage",Brown,22.78,114x132x33,Rubber,Japan,6,True,2022-09-25,LEN-LAP-000064
65,Samsung Ultra 428,"Advanced mobile device featuring latest processor and camera system. Featuring wireless charging, 5G connectivity, face recognition. ",Electronics,Smartphones,Samsung,1095.61,USD,4.9,2459,Limited Stock,"wireless charging, 5G connectivity, face recognition","Samsung, face recognition, wireless charging, 5G connectivity",Red,6.88,102x92x21,Fabric,India,60,True,2025-02-28,SAM-SMA-000065
66,Samsung Ultra 969,"Flagship smartphone with cutting-edge technology and premium design. Featuring 5G connectivity, wireless charging, face recognition. ",Electronics,Smartphones,Samsung,393.58,USD,3.0,2892,In Stock,"5G connectivity, wireless charging, face recognition, water resistant, fingerprint sensor","wireless charging, fingerprint sensor, face recognition, 5G connectivity, water resistant, Samsung",Pink,19.2,129x82x6,Glass,Taiwan,24,True,2022-10-25,SAM-SMA-000066
67,IKEA Modern wall art,"Designer piece that adds elegance and character to any space. Featuring space-saving, stylish appearance. Dimensions: 150x97x10cm. Crafted from fabric.",Home & Garden,Home Decor,IKEA,881.55,USD,2.7,2913,In Stock,"space-saving, stylish appearance","IKEA, stylish appearance, space-saving",Red,9.33,93x98x69,Ceramic,USA,60,False,2024-06-21,IKE-HOM-000067
68,Samsung Mini 960,"Flagship smartphone with cutting-edge technology and premium design. Featuring water resistant, premium build, multiple cameras. ",Electronics,Smartphones,Samsung,326.67,USD,4.9,4473,In Stock,"water resistant, premium build, multiple cameras","Samsung, multiple cameras, premium build, water resistant",Pink,12.2,66x39x69,Glass,USA,12,False,2024-05-19,SAM-SMA-000068
69,Adidas Essential shirts,"Stylish and comfortable clothing perfect for everyday wear. Featuring premium materials, modern design, versatile styling. Made from high-quality polyester. Available in sizes XS-S-XXL.",Fashion,Clothing,Adidas,180.97,USD,3.4,4924,In Stock,"premium materials, modern design, versatile styling","versatile styling, Adidas, premium materials, modern design",White,1.66,96x50x11,Metal,China,24,False,2022-10-18,ADI-CLO-000069
70,OnePlus Pro 913,"Advanced mobile device featuring latest processor and camera system. Featuring fingerprint sensor, water resistant, wireless charging. ",Electronics,Smartphones,OnePlus,796.1,USD,4.6,2448,In Stock,"fingerprint sensor, water resistant, wireless charging, high refresh rate, OLED display","OLED display, fingerprint sensor, high refresh rate, OnePlus, water resistant, wireless charging",White,3.83,142x18x97,Metal,Germany,60,False,2025-02-15,ONE-SMA-000070
71,Beats ATH 863,"High-fidelity audio experience with advanced driver technology. Featuring multipoint connection, foldable design. ",Electronics,Headphones,Beats,80.44,USD,4.6,635,In Stock,"multipoint connection, foldable design","multipoint connection, foldable design, Beats",Red,6.32,70x55x95,Leather,Germany,24,True,2025-04-24,BEA-HEA-000071
